n,k,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,2,0,0.238095238,0.8,0.029411765,7,21,0.780487805,0.142857143,0.9,0.017647059,5,21,0.87804878
1000,2,1,0.157894737,0.8,0.017647059,6,19,0.820512821,0.105263158,0.85,0.011764706,5,19,0.871794872
1000,2,2,0.2,0.8,0.023529412,6,20,0.8,0.1,0.9,0.011764706,4,20,0.9
1000,2,3,0.2,0.8,0.023529412,6,20,0.8,0.1,0.9,0.011764706,4,20,0.9
1000,2,4,0.2,0.8,0.023529412,6,20,0.8,0.1,0.9,0.011764706,4,20,0.9
1000,2,5,0.157894737,0.8,0.017647059,6,19,0.820512821,0.105263158,0.85,0.011764706,5,19,0.871794872
1000,2,6,0.2,0.8,0.023529412,7,20,0.8,0.15,0.85,0.017647059,6,20,0.85
1000,2,7,0.157894737,0.8,0.017647059,6,19,0.820512821,0.105263158,0.85,0.011764706,5,19,0.871794872
1000,2,8,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,2,9,0.166666667,0.75,0.017647059,7,18,0.789473684,0.111111111,0.8,0.011764706,6,18,0.842105263
1000,4,0,0.263157895,0.7,0.029411765,8,19,0.717948718,0.105263158,0.85,0.011764706,5,19,0.871794872
1000,4,1,0.263157895,0.7,0.029411765,8,19,0.717948718,0.105263158,0.85,0.011764706,5,19,0.871794872
1000,4,2,0.3,0.7,0.035294118,9,20,0.7,0.15,0.85,0.017647059,6,20,0.85
1000,4,3,0.3,0.7,0.035294118,9,20,0.7,0.15,0.85,0.017647059,6,20,0.85
1000,4,4,0.3,0.7,0.035294118,8,20,0.7,0.1,0.9,0.011764706,4,20,0.9
1000,4,5,0.3,0.7,0.035294118,9,20,0.7,0.15,0.85,0.017647059,6,20,0.85
1000,4,6,0.3,0.7,0.035294118,8,20,0.7,0.1,0.9,0.011764706,4,20,0.9
1000,4,7,0.222222222,0.7,0.023529412,8,18,0.736842105,0.111111111,0.8,0.011764706,6,18,0.842105263
1000,4,8,0.222222222,0.7,0.023529412,8,18,0.736842105,0.111111111,0.8,0.011764706,6,18,0.842105263
1000,4,9,0.263157895,0.7,0.029411765,8,19,0.717948718,0.105263158,0.85,0.011764706,5,19,0.871794872
1000,10,0,0.230769231,0.5,0.017647059,11,13,0.606060606,0.076923077,0.6,0.005882353,9,13,0.727272727
1000,10,1,0.230769231,0.5,0.017647059,11,13,0.606060606,0.076923077,0.6,0.005882353,9,13,0.727272727
1000,10,2,0.230769231,0.5,0.017647059,11,13,0.606060606,0.076923077,0.6,0.005882353,9,13,0.727272727
1000,10,3,0.285714286,0.5,0.023529412,11,14,0.588235294,0.071428571,0.65,0.005882353,8,14,0.764705882
1000,10,4,0.230769231,0.5,0.017647059,11,13,0.606060606,0.076923077,0.6,0.005882353,9,13,0.727272727
1000,10,5,0.285714286,0.5,0.023529412,11,14,0.588235294,0.071428571,0.65,0.005882353,8,14,0.764705882
1000,10,6,0.285714286,0.5,0.023529412,11,14,0.588235294,0.071428571,0.65,0.005882353,8,14,0.764705882
1000,10,7,0.285714286,0.5,0.023529412,11,14,0.588235294,0.071428571,0.65,0.005882353,8,14,0.764705882
1000,10,8,0.230769231,0.5,0.017647059,11,13,0.606060606,0.076923077,0.6,0.005882353,9,13,0.727272727
1000,10,9,0.230769231,0.5,0.017647059,11,13,0.606060606,0.076923077,0.6,0.005882353,9,13,0.727272727
