n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,10,0,0.272727273,0.8,0.085714286,3,11,0.761904762,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,1,0.307692308,0.9,0.114285714,4,13,0.782608696,0.230769231,1,0.085714286,3,13,0.869565217
1000,10,2,0.272727273,0.8,0.085714286,3,11,0.761904762,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,3,0.363636364,0.7,0.114285714,5,11,0.666666667,0.181818182,0.9,0.057142857,3,11,0.857142857
1000,10,4,0.25,0.9,0.085714286,3,12,0.818181818,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,5,0.25,0.9,0.085714286,3,12,0.818181818,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,6,0.181818182,0.9,0.057142857,2,11,0.857142857,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,7,0.25,0.9,0.085714286,3,12,0.818181818,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,8,0.272727273,0.8,0.085714286,3,11,0.761904762,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,9,0.181818182,0.9,0.057142857,2,11,0.857142857,0.090909091,1,0.028571429,1,11,0.952380952
1000,20,0,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,1,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,2,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,3,0.48,0.65,0.070588235,12,25,0.577777778,0.2,1,0.029411765,5,25,0.888888889
1000,20,4,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,5,0.409090909,0.65,0.052941176,9,22,0.619047619,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,6,0.409090909,0.65,0.052941176,9,22,0.619047619,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,7,0.380952381,0.65,0.047058824,8,21,0.634146341,0.047619048,1,0.005882353,1,21,0.975609756
1000,20,8,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,9,0.458333333,0.65,0.064705882,11,24,0.590909091,0.166666667,1,0.023529412,4,24,0.909090909
1000,40,0,0.471698113,0.7,0.033783784,25,53,0.602150538,0.245283019,1,0.017567568,13,53,0.860215054
1000,40,1,0.490566038,0.675,0.035135135,26,53,0.580645161,0.245283019,1,0.017567568,13,53,0.860215054
1000,40,2,0.490909091,0.7,0.036486486,27,55,0.589473684,0.272727273,1,0.02027027,15,55,0.842105263
1000,40,3,0.509090909,0.675,0.037837838,28,55,0.568421053,0.272727273,1,0.02027027,15,55,0.842105263
1000,40,4,0.612903226,0.6,0.051351351,38,62,0.464516129,0.35483871,1,0.02972973,22,62,0.784313725
1000,40,5,0.561403509,0.625,0.043243243,32,57,0.515463918,0.298245614,1,0.022972973,17,57,0.824742268
1000,40,6,0.450980392,0.7,0.031081081,23,51,0.615384615,0.215686275,1,0.014864865,11,51,0.879120879
1000,40,7,0.428571429,0.7,0.028378378,21,49,0.629213483,0.183673469,1,0.012162162,9,49,0.898876404
1000,40,8,0.509433962,0.65,0.036486486,27,53,0.559139785,0.245283019,1,0.017567568,13,53,0.860215054
1000,40,9,0.517857143,0.675,0.039189189,29,56,0.5625,0.285714286,1,0.021621622,16,56,0.833333333
1000,100,0,0.579881657,0.71,0.020206186,100,169,0.527881041,0.420118343,0.98,0.014639175,73,169,0.728624535
1000,100,1,0.614973262,0.72,0.02371134,116,187,0.50174216,0.470588235,0.99,0.01814433,89,187,0.68989547
1000,100,2,0.542168675,0.76,0.018556701,90,166,0.571428571,0.397590361,1,0.013608247,66,166,0.751879699
1000,100,3,0.545454545,0.75,0.018556701,90,165,0.566037736,0.393939394,1,0.013402062,65,165,0.754716981
1000,100,4,0.545454545,0.75,0.018556701,90,165,0.566037736,0.393939394,1,0.013402062,65,165,0.754716981
1000,100,5,0.56969697,0.71,0.019381443,96,165,0.535849057,0.406060606,0.98,0.013814433,69,165,0.739622642
1000,100,6,0.539393939,0.76,0.018350515,89,165,0.573584906,0.393939394,1,0.013402062,65,165,0.754716981
1000,100,7,0.573033708,0.76,0.021030928,102,178,0.54676259,0.438202247,1,0.016082474,78,178,0.71942446
1000,100,8,0.592178771,0.73,0.02185567,106,179,0.523297491,0.441340782,1,0.01628866,79,179,0.716845878
1000,100,9,0.568965517,0.75,0.020412371,99,174,0.547445255,0.425287356,1,0.015257732,74,174,0.729927007
