n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,10,0,0.1,0.9,0.028571429,1,10,0.9,0,1,0,0,10,1
1000,10,1,0.25,0.9,0.085714286,3,12,0.818181818,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,2,0.454545455,0.6,0.142857143,5,11,0.571428571,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,3,0.181818182,0.9,0.057142857,2,11,0.857142857,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,4,0.272727273,0.8,0.085714286,3,11,0.761904762,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,5,0.272727273,0.8,0.085714286,3,11,0.761904762,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,6,0.2,0.8,0.057142857,2,10,0.8,0,1,0,0,10,1
1000,10,7,0.272727273,0.8,0.085714286,3,11,0.761904762,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,8,0.1,0.9,0.028571429,1,10,0.9,0,1,0,0,10,1
1000,10,9,0.2,0.8,0.057142857,2,10,0.8,0,1,0,0,10,1
1000,20,0,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,1,0.363636364,0.7,0.047058824,8,22,0.666666667,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,2,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,3,0.538461538,0.6,0.082352941,14,26,0.52173913,0.230769231,1,0.035294118,6,26,0.869565217
1000,20,4,0.363636364,0.7,0.047058824,8,22,0.666666667,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,5,0.333333333,0.7,0.041176471,7,21,0.682926829,0.047619048,1,0.005882353,1,21,0.975609756
1000,20,6,0.409090909,0.65,0.052941176,9,22,0.619047619,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,7,0.380952381,0.65,0.047058824,8,21,0.634146341,0.047619048,1,0.005882353,1,21,0.975609756
1000,20,8,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,9,0.458333333,0.65,0.064705882,11,24,0.590909091,0.166666667,1,0.023529412,4,24,0.909090909
1000,40,0,0.388888889,0.825,0.028378378,21,54,0.70212766,0.259259259,1,0.018918919,14,54,0.85106383
1000,40,1,0.442307692,0.725,0.031081081,23,52,0.630434783,0.230769231,1,0.016216216,12,52,0.869565217
1000,40,2,0.490909091,0.7,0.036486486,27,55,0.589473684,0.272727273,1,0.02027027,15,55,0.842105263
1000,40,3,0.418181818,0.8,0.031081081,23,55,0.673684211,0.272727273,1,0.02027027,15,55,0.842105263
1000,40,4,0.525423729,0.7,0.041891892,31,59,0.565656566,0.322033898,1,0.025675676,19,59,0.808080808
1000,40,5,0.423076923,0.75,0.02972973,22,52,0.652173913,0.230769231,1,0.016216216,12,52,0.869565217
1000,40,6,0.41509434,0.775,0.02972973,22,53,0.666666667,0.245283019,1,0.017567568,13,53,0.860215054
1000,40,7,0.388888889,0.825,0.028378378,21,54,0.70212766,0.259259259,1,0.018918919,14,54,0.85106383
1000,40,8,0.29787234,0.825,0.018918919,14,47,0.75862069,0.14893617,1,0.009459459,7,47,0.91954023
1000,40,9,0.384615385,0.8,0.027027027,20,52,0.695652174,0.230769231,1,0.016216216,12,52,0.869565217
1000,100,0,0.570621469,0.76,0.020824742,103,177,0.548736462,0.446327684,0.98,0.01628866,81,177,0.707581227
1000,100,1,0.619047619,0.72,0.024123711,118,189,0.498269896,0.476190476,0.99,0.018556701,91,189,0.685121107
1000,100,2,0.530487805,0.77,0.017938144,87,164,0.583333333,0.390243902,1,0.013195876,64,164,0.757575758
1000,100,3,0.530487805,0.77,0.017938144,87,164,0.583333333,0.390243902,1,0.013195876,64,164,0.757575758
1000,100,4,0.50617284,0.8,0.016907216,82,162,0.610687023,0.382716049,1,0.012783505,62,162,0.763358779
1000,100,5,0.545454545,0.75,0.018556701,92,165,0.566037736,0.406060606,0.98,0.013814433,69,165,0.739622642
1000,100,6,0.529761905,0.79,0.018350515,89,168,0.589552239,0.404761905,1,0.014020619,68,168,0.746268657
1000,100,7,0.528735632,0.82,0.018969072,92,174,0.598540146,0.425287356,1,0.015257732,74,174,0.729927007
1000,100,8,0.592178771,0.73,0.02185567,106,179,0.523297491,0.441340782,1,0.01628866,79,179,0.716845878
1000,100,9,0.563218391,0.76,0.020206186,98,174,0.554744526,0.425287356,1,0.015257732,74,174,0.729927007
