n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
100,20,0,0.44,0.7,0.064705882,12,25,0.622222222,0.24,0.95,0.035294118,7,25,0.844444444
100,20,1,0.347826087,0.75,0.047058824,10,23,0.697674419,0.217391304,0.9,0.029411765,7,23,0.837209302
100,20,2,0.19047619,0.85,0.023529412,5,21,0.829268293,0.095238095,0.95,0.011764706,3,21,0.926829268
100,20,3,0.571428571,0.6,0.094117647,18,28,0.5,0.357142857,0.9,0.058823529,12,28,0.75
100,20,4,0.555555556,0.6,0.088235294,16,27,0.510638298,0.296296296,0.95,0.047058824,9,27,0.808510638
100,20,5,0.46875,0.85,0.088235294,16,32,0.653846154,0.40625,0.95,0.076470588,14,32,0.730769231
100,20,6,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
100,20,7,0.36,0.8,0.052941176,10,25,0.711111111,0.24,0.95,0.035294118,7,25,0.844444444
100,20,8,0.666666667,0.55,0.129411765,24,33,0.366666667,0.454545455,0.9,0.088235294,17,33,0.679245283
100,20,9,0.444444444,0.75,0.070588235,13,27,0.638297872,0.296296296,0.95,0.047058824,9,27,0.808510638
500,20,0,0.307692308,0.9,0.047058824,8,26,0.782608696,0.230769231,1,0.035294118,6,26,0.869565217
500,20,1,0.709677419,0.45,0.129411765,23,31,0.261290323,0.387096774,0.95,0.070588235,13,31,0.745098039
500,20,2,0.548387097,0.7,0.1,17,31,0.549019608,0.35483871,1,0.064705882,11,31,0.784313725
500,20,3,0.458333333,0.65,0.064705882,11,24,0.590909091,0.166666667,1,0.023529412,4,24,0.909090909
500,20,4,0.458333333,0.65,0.064705882,11,24,0.590909091,0.166666667,1,0.023529412,4,24,0.909090909
500,20,5,0.363636364,0.7,0.047058824,9,22,0.666666667,0.136363636,0.95,0.017647059,4,22,0.904761905
500,20,6,0.36,0.8,0.052941176,9,25,0.711111111,0.2,1,0.029411765,5,25,0.888888889
500,20,7,0.407407407,0.8,0.064705882,11,27,0.680851064,0.259259259,1,0.041176471,7,27,0.85106383
500,20,8,0.391304348,0.7,0.052941176,9,23,0.651162791,0.130434783,1,0.017647059,3,23,0.930232558
500,20,9,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,0,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
