n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
100,20,0,0.333333333,0.6,0.035294118,8,18,0.631578947,0,0.9,0,2,18,0.947368421
100,20,1,0.266666667,0.55,0.023529412,9,15,0.628571429,0,0.75,0,5,15,0.857142857
100,20,2,0.4,0.45,0.035294118,11,15,0.514285714,0,0.75,0,5,15,0.857142857
100,20,3,0.3125,0.55,0.029411765,9,16,0.611111111,0,0.8,0,4,16,0.888888889
100,20,4,0.277777778,0.65,0.029411765,8,18,0.684210526,0.055555556,0.85,0.005882353,4,18,0.894736842
100,20,5,0.235294118,0.65,0.023529412,8,17,0.702702703,0.058823529,0.8,0.005882353,5,17,0.864864865
100,20,6,0.333333333,0.5,0.029411765,10,15,0.571428571,0,0.75,0,5,15,0.857142857
100,20,7,0.3125,0.55,0.029411765,9,16,0.611111111,0,0.8,0,4,16,0.888888889
100,20,8,0.4375,0.45,0.041176471,11,16,0.5,0,0.8,0,4,16,0.888888889
100,20,9,0.294117647,0.6,0.029411765,9,17,0.648648649,0.058823529,0.8,0.005882353,5,17,0.864864865
500,20,0,0.388888889,0.55,0.041176471,9,18,0.578947368,0,0.9,0,2,18,0.947368421
500,20,1,0.277777778,0.65,0.029411765,7,18,0.684210526,0,0.9,0,2,18,0.947368421
500,20,2,0.45,0.55,0.052941176,10,20,0.55,0.05,0.95,0.005882353,2,20,0.95
500,20,3,0.388888889,0.55,0.041176471,9,18,0.578947368,0,0.9,0,2,18,0.947368421
500,20,4,0.421052632,0.55,0.047058824,9,19,0.564102564,0,0.95,0,1,19,0.974358974
500,20,5,0.157894737,0.8,0.017647059,4,19,0.820512821,0,0.95,0,1,19,0.974358974
500,20,6,0.210526316,0.75,0.023529412,5,19,0.769230769,0,0.95,0,1,19,0.974358974
500,20,7,0.411764706,0.5,0.041176471,10,17,0.540540541,0,0.85,0,3,17,0.918918919
500,20,8,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
500,20,9,0.368421053,0.6,0.041176471,8,19,0.615384615,0,0.95,0,1,19,0.974358974
1000,20,0,0.4,0.6,0.047058824,9,20,0.6,0.05,0.95,0.005882353,2,20,0.95
1000,20,1,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
1000,20,2,0.2,0.8,0.023529412,4,20,0.8,0,1,0,0,20,1
1000,20,3,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
1000,20,4,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
1000,20,5,0.25,0.75,0.029411765,5,20,0.75,0,1,0,0,20,1
1000,20,6,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
1000,20,7,0.368421053,0.6,0.041176471,8,19,0.615384615,0,0.95,0,1,19,0.974358974
1000,20,8,0.318181818,0.75,0.041176471,7,22,0.714285714,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,9,0.285714286,0.75,0.035294118,6,21,0.731707317,0.047619048,1,0.005882353,1,21,0.975609756
5000,20,0,0.285714286,0.75,0.035294118,6,21,0.731707317,0.047619048,1,0.005882353,1,21,0.975609756
5000,20,1,0.285714286,0.75,0.035294118,6,21,0.731707317,0.047619048,1,0.005882353,1,21,0.975609756
5000,20,2,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
5000,20,3,0.25,0.75,0.029411765,5,20,0.75,0,1,0,0,20,1
5000,20,4,0.2,0.8,0.023529412,4,20,0.8,0,1,0,0,20,1
5000,20,5,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
5000,20,6,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
5000,20,7,0.523809524,0.5,0.064705882,11,21,0.476190476,0.047619048,1,0.005882353,1,21,0.975609756
5000,20,8,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
5000,20,9,0.25,0.75,0.029411765,5,20,0.75,0,1,0,0,20,1
10000,20,0,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
10000,20,1,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
10000,20,2,0.25,0.75,0.029411765,5,20,0.75,0,1,0,0,20,1
10000,20,3,0.25,0.75,0.029411765,5,20,0.75,0,1,0,0,20,1
10000,20,4,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
10000,20,5,0.285714286,0.75,0.035294118,6,21,0.731707317,0.047619048,1,0.005882353,1,21,0.975609756
10000,20,6,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
10000,20,7,0.2,0.8,0.023529412,4,20,0.8,0,1,0,0,20,1
10000,20,8,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
10000,20,9,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
