n,alpha,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,0.5,0,0,0.85,0,3,17,0.918918919,0,0.85,0,3,17,0.918918919
1000,0.5,1,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,0.5,2,0,0.8,0,4,16,0.888888889,0,0.8,0,4,16,0.888888889
1000,0.5,3,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,0.5,4,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,0.5,5,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,0.5,6,0,0.8,0,4,16,0.888888889,0,0.8,0,4,16,0.888888889
1000,0.5,7,0,0.85,0,3,17,0.918918919,0,0.85,0,3,17,0.918918919
1000,0.5,8,0,0.85,0,3,17,0.918918919,0,0.85,0,3,17,0.918918919
1000,0.5,9,0,0.85,0,3,17,0.918918919,0,0.85,0,3,17,0.918918919
1000,1,0,0,1,0,0,20,1,0,1,0,0,20,1
1000,1,1,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,1,2,0,1,0,0,20,1,0,1,0,0,20,1
1000,1,3,0,1,0,0,20,1,0,1,0,0,20,1
1000,1,4,0,1,0,0,20,1,0,1,0,0,20,1
1000,1,5,0,1,0,0,20,1,0,1,0,0,20,1
1000,1,6,0,1,0,0,20,1,0,1,0,0,20,1
1000,1,7,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,1,8,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,1,9,0,1,0,0,20,1,0,1,0,0,20,1
1000,2,0,0,0.85,0,3,17,0.918918919,0,0.85,0,3,17,0.918918919
1000,2,1,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,2,2,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,2,3,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,2,4,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,2,5,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,2,6,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,2,7,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,2,8,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,2,9,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
