n,m,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,2,0,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,1,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,2,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,3,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,4,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,5,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,6,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,7,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,8,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,9,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,3,0,0.15,0.85,0.017647059,5,20,0.85,0.1,0.9,0.011764706,4,20,0.9
1000,3,1,0.052631579,0.9,0.005882353,3,19,0.923076923,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,3,2,0.238095238,0.8,0.029411765,6,21,0.780487805,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,3,3,0.142857143,0.9,0.017647059,4,21,0.87804878,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,3,4,0.1,0.9,0.011764706,3,20,0.9,0.05,0.95,0.005882353,2,20,0.95
1000,3,5,0.1,0.9,0.011764706,4,20,0.9,0.1,0.9,0.011764706,4,20,0.9
1000,3,6,0.1,0.9,0.011764706,3,20,0.9,0.05,0.95,0.005882353,2,20,0.95
1000,3,7,0.1,0.9,0.011764706,4,20,0.9,0.1,0.9,0.011764706,4,20,0.9
1000,3,8,0.1,0.9,0.011764706,3,20,0.9,0.05,0.95,0.005882353,2,20,0.95
1000,3,9,0.1,0.9,0.011764706,3,20,0.9,0.05,0.95,0.005882353,2,20,0.95
1000,4,0,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,4,1,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,4,2,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,4,3,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,4,4,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,4,5,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,4,6,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,4,7,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,4,8,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
1000,4,9,0,0.9,0,2,18,0.947368421,0,0.9,0,2,18,0.947368421
