n,m,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0,0.15,0.85,0.017647059,4,20,0.85,0.05,0.95,0.005882353,2,20,0.95
1000,2,1,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
1000,2,2,0.35,0.65,0.041176471,7,20,0.65,0,1,0,0,20,1
1000,2,3,0.2,0.8,0.023529412,4,20,0.8,0,1,0,0,20,1
1000,2,4,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
1000,2,5,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
1000,2,6,0.25,0.75,0.029411765,5,20,0.75,0,1,0,0,20,1
1000,2,7,0.263157895,0.7,0.029411765,6,19,0.717948718,0,0.95,0,1,19,0.974358974
1000,2,8,0.428571429,0.6,0.052941176,9,21,0.585365854,0.047619048,1,0.005882353,1,21,0.975609756
1000,2,9,0.19047619,0.85,0.023529412,4,21,0.829268293,0.047619048,1,0.005882353,1,21,0.975609756
1000,3,0,0.6875,0.25,0.064705882,15,16,0.15625,0,0.8,0,4,16,0.888888889
1000,3,1,0.4,0.45,0.035294118,12,15,0.514285714,0.066666667,0.7,0.005882353,7,15,0.8
1000,3,2,0.466666667,0.4,0.041176471,12,15,0.426666667,0,0.75,0,5,15,0.857142857
1000,3,3,0.611111111,0.35,0.064705882,15,18,0.272222222,0.111111111,0.8,0.011764706,6,18,0.842105263
1000,3,4,0.555555556,0.4,0.058823529,12,18,0.355555556,0,0.9,0,2,18,0.947368421
1000,3,5,0.6875,0.25,0.064705882,17,16,0.15625,0.125,0.7,0.011764706,8,16,0.777777778
1000,3,6,0.625,0.3,0.058823529,16,16,0.225,0.125,0.7,0.011764706,8,16,0.777777778
1000,3,7,0.5625,0.35,0.052941176,14,16,0.30625,0.0625,0.75,0.005882353,6,16,0.833333333
1000,3,8,0.333333333,0.5,0.029411765,10,15,0.571428571,0,0.75,0,5,15,0.857142857
1000,3,9,0.642857143,0.25,0.052941176,15,14,0.178571429,0,0.7,0,6,14,0.823529412
1000,4,0,0.470588235,0.45,0.047058824,12,17,0.476470588,0.058823529,0.8,0.005882353,5,17,0.864864865
1000,4,1,0.529411765,0.4,0.052941176,12,17,0.376470588,0,0.85,0,3,17,0.918918919
1000,4,2,0.444444444,0.5,0.047058824,10,18,0.526315789,0,0.9,0,2,18,0.947368421
1000,4,3,0.277777778,0.65,0.029411765,7,18,0.684210526,0,0.9,0,2,18,0.947368421
1000,4,4,0.444444444,0.5,0.047058824,10,18,0.526315789,0,0.9,0,2,18,0.947368421
1000,4,5,0.315789474,0.65,0.035294118,8,19,0.666666667,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,6,0.444444444,0.5,0.047058824,10,18,0.526315789,0,0.9,0,2,18,0.947368421
1000,4,7,0.470588235,0.45,0.047058824,12,17,0.476470588,0.058823529,0.8,0.005882353,5,17,0.864864865
1000,4,8,0.411764706,0.5,0.041176471,10,17,0.540540541,0,0.85,0,3,17,0.918918919
1000,4,9,0.5,0.45,0.052941176,11,18,0.45,0,0.9,0,2,18,0.947368421
