n,k,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,1,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,2,0.260869565,0.85,0.035294118,6,23,0.790697674,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,3,0.533333333,0.7,0.094117647,16,30,0.56,0.333333333,1,0.058823529,10,30,0.8
1000,2,4,0.48,0.65,0.070588235,12,25,0.577777778,0.2,1,0.029411765,5,25,0.888888889
1000,2,5,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,6,0.391304348,0.7,0.052941176,9,23,0.651162791,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,7,0.735294118,0.45,0.147058824,25,34,0.238235294,0.411764706,1,0.082352941,14,34,0.740740741
1000,2,8,0.391304348,0.7,0.052941176,9,23,0.651162791,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,9,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,4,0,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,4,1,0.391304348,0.7,0.052941176,9,23,0.651162791,0.130434783,1,0.017647059,3,23,0.930232558
1000,4,2,0.217391304,0.9,0.029411765,5,23,0.837209302,0.130434783,1,0.017647059,3,23,0.930232558
1000,4,3,0.318181818,0.75,0.041176471,7,22,0.714285714,0.090909091,1,0.011764706,2,22,0.952380952
1000,4,4,0.36,0.8,0.052941176,9,25,0.711111111,0.2,1,0.029411765,5,25,0.888888889
1000,4,5,0.227272727,0.85,0.029411765,5,22,0.80952381,0.090909091,1,0.011764706,2,22,0.952380952
1000,4,6,0.260869565,0.85,0.035294118,6,23,0.790697674,0.130434783,1,0.017647059,3,23,0.930232558
1000,4,7,0.260869565,0.85,0.035294118,6,23,0.790697674,0.130434783,1,0.017647059,3,23,0.930232558
1000,4,8,0.448275862,0.8,0.076470588,13,29,0.653061224,0.310344828,1,0.052941176,9,29,0.816326531
1000,4,9,0.304347826,0.8,0.041176471,8,23,0.744186047,0.173913043,0.95,0.023529412,5,23,0.88372093
1000,10,0,0.346153846,0.85,0.052941176,9,26,0.739130435,0.230769231,1,0.035294118,6,26,0.869565217
1000,10,1,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,10,2,0.384615385,0.8,0.058823529,10,26,0.695652174,0.230769231,1,0.035294118,6,26,0.869565217
1000,10,3,0.291666667,0.85,0.041176471,7,24,0.772727273,0.166666667,1,0.023529412,4,24,0.909090909
1000,10,4,0.48,0.65,0.070588235,12,25,0.577777778,0.2,1,0.029411765,5,25,0.888888889
1000,10,5,0.48,0.65,0.070588235,13,25,0.577777778,0.24,0.95,0.035294118,7,25,0.844444444
1000,10,6,0.409090909,0.65,0.052941176,9,22,0.619047619,0.090909091,1,0.011764706,2,22,0.952380952
1000,10,7,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,10,8,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,10,9,0.347826087,0.75,0.047058824,8,23,0.697674419,0.130434783,1,0.017647059,3,23,0.930232558
