n,k,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,2,0,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,2,1,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,2,2,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,2,3,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,2,4,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,2,5,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,2,6,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,2,7,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,2,8,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,2,9,0,0.95,0,1,19,0.974358974,0,0.95,0,1,19,0.974358974
1000,4,0,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,1,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,2,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,3,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,4,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,5,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,6,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,7,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,8,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,4,9,0.157894737,0.8,0.017647059,5,19,0.820512821,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,10,0,0.166666667,0.75,0.017647059,7,18,0.789473684,0.111111111,0.8,0.011764706,6,18,0.842105263
1000,10,1,0.133333333,0.65,0.011764706,8,15,0.742857143,0.066666667,0.7,0.005882353,7,15,0.8
1000,10,2,0.0625,0.75,0.005882353,6,16,0.833333333,0.0625,0.75,0.005882353,6,16,0.833333333
1000,10,3,0.0625,0.75,0.005882353,5,16,0.833333333,0,0.8,0,4,16,0.888888889
1000,10,4,0.125,0.7,0.011764706,7,16,0.777777778,0.0625,0.75,0.005882353,6,16,0.833333333
1000,10,5,0,0.8,0,4,16,0.888888889,0,0.8,0,4,16,0.888888889
1000,10,6,0.071428571,0.65,0.005882353,7,14,0.764705882,0,0.7,0,6,14,0.823529412
1000,10,7,0.058823529,0.8,0.005882353,5,17,0.864864865,0.058823529,0.8,0.005882353,5,17,0.864864865
1000,10,8,0.0625,0.75,0.005882353,5,16,0.833333333,0,0.8,0,4,16,0.888888889
1000,10,9,0.166666667,0.75,0.017647059,7,18,0.789473684,0.111111111,0.8,0.011764706,6,18,0.842105263
