n,k,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0,0.333333333,0.7,0.041176471,7,21,0.682926829,0.047619048,1,0.005882353,1,21,0.975609756
1000,2,1,0.541666667,0.55,0.076470588,13,24,0.5,0.166666667,1,0.023529412,4,24,0.909090909
1000,2,2,0.333333333,0.7,0.041176471,7,21,0.682926829,0.047619048,1,0.005882353,1,21,0.975609756
1000,2,3,0.47826087,0.6,0.064705882,11,23,0.558139535,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,4,0.375,0.75,0.052941176,9,24,0.681818182,0.166666667,1,0.023529412,4,24,0.909090909
1000,2,5,0.363636364,0.7,0.047058824,8,22,0.666666667,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,6,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,7,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,8,0.347826087,0.75,0.047058824,8,23,0.697674419,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,9,0.285714286,0.75,0.035294118,6,21,0.731707317,0.047619048,1,0.005882353,1,21,0.975609756
1000,4,0,0.285714286,0.75,0.035294118,6,21,0.731707317,0.047619048,1,0.005882353,1,21,0.975609756
1000,4,1,0.318181818,0.75,0.041176471,7,22,0.714285714,0.090909091,1,0.011764706,2,22,0.952380952
1000,4,2,0.260869565,0.85,0.035294118,6,23,0.790697674,0.130434783,1,0.017647059,3,23,0.930232558
1000,4,3,0.285714286,0.75,0.035294118,6,21,0.731707317,0.047619048,1,0.005882353,1,21,0.975609756
1000,4,4,0.333333333,0.8,0.047058824,8,24,0.727272727,0.166666667,1,0.023529412,4,24,0.909090909
1000,4,5,0.227272727,0.85,0.029411765,5,22,0.80952381,0.090909091,1,0.011764706,2,22,0.952380952
1000,4,6,0.260869565,0.85,0.035294118,6,23,0.790697674,0.130434783,1,0.017647059,3,23,0.930232558
1000,4,7,0.318181818,0.75,0.041176471,7,22,0.714285714,0.090909091,1,0.011764706,2,22,0.952380952
1000,4,8,0.481481481,0.7,0.076470588,13,27,0.595744681,0.259259259,1,0.041176471,7,27,0.85106383
1000,4,9,0.333333333,0.7,0.041176471,8,21,0.682926829,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,10,0,0.333333333,0.8,0.047058824,8,24,0.727272727,0.166666667,1,0.023529412,4,24,0.909090909
1000,10,1,0.318181818,0.75,0.041176471,7,22,0.714285714,0.090909091,1,0.011764706,2,22,0.952380952
1000,10,2,0.555555556,0.6,0.088235294,16,27,0.510638298,0.296296296,0.95,0.047058824,9,27,0.808510638
1000,10,3,0.375,0.75,0.052941176,9,24,0.681818182,0.166666667,1,0.023529412,4,24,0.909090909
1000,10,4,0.384615385,0.8,0.058823529,10,26,0.695652174,0.230769231,1,0.035294118,6,26,0.869565217
1000,10,5,0.391304348,0.7,0.052941176,9,23,0.651162791,0.130434783,1,0.017647059,3,23,0.930232558
1000,10,6,0.391304348,0.7,0.052941176,9,23,0.651162791,0.130434783,1,0.017647059,3,23,0.930232558
1000,10,7,0.333333333,0.8,0.047058824,8,24,0.727272727,0.166666667,1,0.023529412,4,24,0.909090909
1000,10,8,0.318181818,0.75,0.041176471,7,22,0.714285714,0.090909091,1,0.011764706,2,22,0.952380952
1000,10,9,0.285714286,0.75,0.035294118,6,21,0.731707317,0.047619048,1,0.005882353,1,21,0.975609756
