n,k,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0,0.333333333,0.7,0.041176471,8,21,0.682926829,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,2,1,0.263157895,0.7,0.029411765,6,19,0.717948718,0,0.95,0,1,19,0.974358974
1000,2,2,0.263157895,0.7,0.029411765,7,19,0.717948718,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,2,3,0.421052632,0.55,0.047058824,9,19,0.564102564,0,0.95,0,1,19,0.974358974
1000,2,4,0.25,0.75,0.029411765,6,20,0.75,0.05,0.95,0.005882353,2,20,0.95
1000,2,5,0.157894737,0.8,0.017647059,4,19,0.820512821,0,0.95,0,1,19,0.974358974
1000,2,6,0.315789474,0.65,0.035294118,7,19,0.666666667,0,0.95,0,1,19,0.974358974
1000,2,7,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
1000,2,8,0.210526316,0.75,0.023529412,5,19,0.769230769,0,0.95,0,1,19,0.974358974
1000,2,9,0.315789474,0.65,0.035294118,7,19,0.666666667,0,0.95,0,1,19,0.974358974
1000,4,0,0.315789474,0.65,0.035294118,7,19,0.666666667,0,0.95,0,1,19,0.974358974
1000,4,1,0.3,0.7,0.035294118,7,20,0.7,0.05,0.95,0.005882353,2,20,0.95
1000,4,2,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
1000,4,3,0.157894737,0.8,0.017647059,4,19,0.820512821,0,0.95,0,1,19,0.974358974
1000,4,4,0.315789474,0.65,0.035294118,7,19,0.666666667,0,0.95,0,1,19,0.974358974
1000,4,5,0.263157895,0.7,0.029411765,6,19,0.717948718,0,0.95,0,1,19,0.974358974
1000,4,6,0.277777778,0.65,0.029411765,7,18,0.684210526,0,0.9,0,2,18,0.947368421
1000,4,7,0.333333333,0.7,0.041176471,8,21,0.682926829,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,4,8,0.227272727,0.85,0.029411765,6,22,0.80952381,0.136363636,0.95,0.017647059,4,22,0.904761905
1000,4,9,0.368421053,0.6,0.041176471,8,19,0.615384615,0,0.95,0,1,19,0.974358974
1000,10,0,0.363636364,0.7,0.047058824,9,22,0.666666667,0.136363636,0.95,0.017647059,4,22,0.904761905
1000,10,1,0.368421053,0.6,0.041176471,8,19,0.615384615,0,0.95,0,1,19,0.974358974
1000,10,2,0.523809524,0.5,0.064705882,13,21,0.476190476,0.142857143,0.9,0.017647059,5,21,0.87804878
1000,10,3,0.157894737,0.8,0.017647059,4,19,0.820512821,0,0.95,0,1,19,0.974358974
1000,10,4,0.2,0.8,0.023529412,4,20,0.8,0,1,0,0,20,1
1000,10,5,0.3,0.7,0.035294118,7,20,0.7,0.05,0.95,0.005882353,2,20,0.95
1000,10,6,0.315789474,0.65,0.035294118,7,19,0.666666667,0,0.95,0,1,19,0.974358974
1000,10,7,0.25,0.75,0.029411765,5,20,0.75,0,1,0,0,20,1
1000,10,8,0.285714286,0.75,0.035294118,7,21,0.731707317,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,10,9,0.363636364,0.7,0.047058824,9,22,0.666666667,0.136363636,0.95,0.017647059,4,22,0.904761905
