"n","distribution","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,"gauss",0,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gauss",1,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"gauss",2,0.380952380952381,0.65,0.0470588235294118,8,21,0.634146341463415,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gauss",3,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gauss",4,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"gauss",5,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gauss",6,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"gauss",7,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gauss",8,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"gauss",9,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"exp",0,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"exp",1,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"exp",2,0.5,0.65,0.0764705882352941,13,26,0.565217391304348,0.230769230769231,1,0.0352941176470588,6,26,0.869565217391304
1000,"exp",3,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"exp",4,0.518518518518518,0.65,0.0823529411764706,14,27,0.553191489361702,0.259259259259259,1,0.0411764705882353,7,27,0.851063829787234
1000,"exp",5,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"exp",6,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"exp",7,0.409090909090909,0.65,0.0529411764705882,10,22,0.619047619047619,0.136363636363636,0.95,0.0176470588235294,4,22,0.904761904761905
1000,"exp",8,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"exp",9,0.478260869565217,0.6,0.0647058823529412,11,23,0.558139534883721,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gumbel",0,0.380952380952381,0.65,0.0470588235294118,8,21,0.634146341463415,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gumbel",1,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,"gumbel",2,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,"gumbel",3,0.380952380952381,0.65,0.0470588235294118,8,21,0.634146341463415,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gumbel",4,0.391304347826087,0.7,0.0529411764705882,9,23,0.651162790697674,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gumbel",5,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gumbel",6,0.380952380952381,0.65,0.0470588235294118,8,21,0.634146341463415,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gumbel",7,0.391304347826087,0.7,0.0529411764705882,9,23,0.651162790697674,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,"gumbel",8,0.380952380952381,0.65,0.0470588235294118,8,21,0.634146341463415,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,"gumbel",9,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
