n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,10,0,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,1,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,2,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,3,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,4,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,5,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,6,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,7,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,8,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,9,0.1,0.9,0.02857142857142857,1.0,10.0,0.9,0.0,1.0,0.0,0.0,10.0,1.0
1000,20,0,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,20,1,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,20,2,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,20,3,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,20,4,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,20,5,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,20,6,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,20,7,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,20,8,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,20,9,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
1000,40,0,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,40,1,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,40,2,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,40,3,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,40,4,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,40,5,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,40,6,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,40,7,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,40,8,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,40,9,0.0,1.0,0.0,0.0,40.0,1.0,0.0,1.0,0.0,0.0,40.0,1.0
1000,100,0,0.019801980198019802,0.99,0.0004123711340206186,2.0,101.0,0.9850746268656716,0.009900990099009901,1.0,0.0002061855670103093,1.0,101.0,0.9950248756218906
1000,100,1,0.04854368932038835,0.98,0.0010309278350515464,5.0,103.0,0.9655172413793104,0.02912621359223301,1.0,0.0006185567010309278,3.0,103.0,0.9852216748768473
1000,100,2,0.019801980198019802,0.99,0.0004123711340206186,2.0,101.0,0.9850746268656716,0.009900990099009901,1.0,0.0002061855670103093,1.0,101.0,0.9950248756218906
1000,100,3,0.019801980198019802,0.99,0.0004123711340206186,2.0,101.0,0.9850746268656716,0.009900990099009901,1.0,0.0002061855670103093,1.0,101.0,0.9950248756218906
1000,100,4,0.0297029702970297,0.98,0.0006185567010309278,3.0,101.0,0.9751243781094527,0.009900990099009901,1.0,0.0002061855670103093,1.0,101.0,0.9950248756218906
1000,100,5,0.019801980198019802,0.99,0.0004123711340206186,2.0,101.0,0.9850746268656716,0.009900990099009901,1.0,0.0002061855670103093,1.0,101.0,0.9950248756218906
1000,100,6,0.019801980198019802,0.99,0.0004123711340206186,2.0,101.0,0.9850746268656716,0.009900990099009901,1.0,0.0002061855670103093,1.0,101.0,0.9950248756218906
1000,100,7,0.019801980198019802,0.99,0.0004123711340206186,2.0,101.0,0.9850746268656716,0.009900990099009901,1.0,0.0002061855670103093,1.0,101.0,0.9950248756218906
1000,100,8,0.04854368932038835,0.98,0.0010309278350515464,5.0,103.0,0.9655172413793104,0.02912621359223301,1.0,0.0006185567010309278,3.0,103.0,0.9852216748768473
1000,100,9,0.019801980198019802,0.99,0.0004123711340206186,2.0,101.0,0.9850746268656716,0.009900990099009901,1.0,0.0002061855670103093,1.0,101.0,0.9950248756218906
