n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,10,0,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,1,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,2,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,3,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,4,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,5,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,6,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,7,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,8,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,10,9,0.0,0.9,0.0,1.0,9.0,0.9473684210526316,0.0,0.9,0.0,1.0,9.0,0.9473684210526316
1000,20,0,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,1,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,2,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,3,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
1000,20,4,0.14285714285714285,0.9,0.01764705882352941,4.0,21.0,0.8780487804878049,0.09523809523809523,0.95,0.011764705882352941,3.0,21.0,0.9268292682926829
1000,20,5,0.1,0.9,0.011764705882352941,4.0,20.0,0.9,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,6,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
