"n","s0","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,10,0,0.6,0.6,0.05,9,15,0.48,0.333333333333333,1,0.0277777777777778,5,15,0.8
1000,10,1,0.615384615384615,0.5,0.0444444444444444,8,13,0.384615384615385,0.230769230769231,1,0.0166666666666667,3,13,0.869565217391304
1000,10,2,0.571428571428571,0.6,0.0444444444444444,8,14,0.5,0.285714285714286,1,0.0222222222222222,4,14,0.833333333333333
1000,10,3,0.5,0.6,0.0333333333333333,6,12,0.545454545454545,0.166666666666667,1,0.0111111111111111,2,12,0.909090909090909
1000,10,4,0.6,0.6,0.05,9,15,0.48,0.333333333333333,1,0.0277777777777778,5,15,0.8
1000,10,5,0.533333333333333,0.7,0.0444444444444444,8,15,0.56,0.333333333333333,1,0.0277777777777778,5,15,0.8
1000,10,6,0.5,0.6,0.0333333333333333,6,12,0.545454545454545,0.166666666666667,1,0.0111111111111111,2,12,0.909090909090909
1000,10,7,0.6,0.6,0.05,9,15,0.48,0.333333333333333,1,0.0277777777777778,5,15,0.8
1000,10,8,0.5,0.6,0.0333333333333333,6,12,0.545454545454545,0.166666666666667,1,0.0111111111111111,2,12,0.909090909090909
1000,10,9,0.642857142857143,0.5,0.05,9,14,0.357142857142857,0.285714285714286,1,0.0222222222222222,4,14,0.833333333333333
1000,20,0,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,20,1,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,20,2,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,20,3,0.48,0.65,0.0705882352941176,12,25,0.577777777777778,0.2,1,0.0294117647058824,5,25,0.888888888888889
1000,20,4,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,20,5,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,20,6,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,20,7,0.380952380952381,0.65,0.0470588235294118,8,21,0.634146341463415,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,20,8,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,20,9,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,40,0,0.657534246575342,0.625,0.32,51,73,0.428082191780822,0.493150684931507,0.925,0.24,39,73,0.654867256637168
1000,40,1,0.611111111111111,0.7,0.293333333333333,45,72,0.5,0.458333333333333,0.975,0.22,34,72,0.696428571428572
1000,40,2,0.571428571428571,0.675,0.24,38,63,0.524271844660194,0.396825396825397,0.95,0.166666666666667,27,63,0.737864077669903
1000,40,3,0.594202898550725,0.7,0.273333333333333,42,69,0.513761467889908,0.434782608695652,0.975,0.2,31,69,0.71559633027523
1000,40,4,0.657894736842105,0.65,0.333333333333333,54,76,0.444736842105263,0.526315789473684,0.9,0.266666666666667,44,76,0.620689655172414
1000,40,5,0.53968253968254,0.725,0.226666666666667,35,63,0.563106796116505,0.380952380952381,0.975,0.16,25,63,0.757281553398058
1000,40,6,0.515625,0.775,0.22,33,64,0.596153846153846,0.375,1,0.16,24,64,0.769230769230769
1000,40,7,0.53125,0.75,0.226666666666667,35,64,0.576923076923077,0.390625,0.975,0.166666666666667,26,64,0.75
1000,40,8,0.555555555555556,0.7,0.233333333333333,37,63,0.543689320388349,0.396825396825397,0.95,0.166666666666667,27,63,0.737864077669903
1000,40,9,0.392156862745098,0.775,0.133333333333333,21,51,0.681318681318681,0.235294117647059,0.975,0.08,13,51,0.857142857142857
