n,s0,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,10,0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,1,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,2,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,3,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,4,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,5,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,6,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,7,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,8,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,10,9,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0
1000,20,0,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,1,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,2,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,3,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
1000,20,4,0.14285714285714285,0.9,0.01764705882352941,4.0,21.0,0.8780487804878049,0.09523809523809523,0.95,0.011764705882352941,3.0,21.0,0.9268292682926829
1000,20,5,0.1,0.9,0.011764705882352941,4.0,20.0,0.9,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,6,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,7,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,20,8,0.21052631578947367,0.75,0.023529411764705882,7.0,19.0,0.7692307692307692,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
1000,20,9,0.2,0.8,0.023529411764705882,6.0,20.0,0.8000000000000002,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,40,0,0.02631578947368421,0.925,0.006666666666666667,3.0,38.0,0.9487179487179489,0.0,0.95,0.0,2.0,38.0,0.9743589743589743
1000,40,1,0.02564102564102564,0.95,0.006666666666666667,2.0,39.0,0.9620253164556962,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,2,0.02564102564102564,0.95,0.006666666666666667,2.0,39.0,0.9620253164556962,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,3,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,4,0.0,0.975,0.0,1.0,39.0,0.9873417721518987,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,5,0.02564102564102564,0.95,0.006666666666666667,2.0,39.0,0.9620253164556962,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,6,0.02564102564102564,0.95,0.006666666666666667,2.0,39.0,0.9620253164556962,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,7,0.02564102564102564,0.95,0.006666666666666667,2.0,39.0,0.9620253164556962,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,8,0.02564102564102564,0.95,0.006666666666666667,2.0,39.0,0.9620253164556962,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
1000,40,9,0.02564102564102564,0.95,0.006666666666666667,2.0,39.0,0.9620253164556962,0.0,0.975,0.0,1.0,39.0,0.9873417721518987
