"n","s0","i","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,10,0,0.666666666666667,0.5,0.0555555555555556,10,15,0.333333333333333,0.333333333333333,1,0.0277777777777778,5,15,0.8
1000,10,1,0.615384615384615,0.5,0.0444444444444444,8,13,0.384615384615385,0.230769230769231,1,0.0166666666666667,3,13,0.869565217391304
1000,10,2,0.5,0.6,0.0333333333333333,6,12,0.545454545454545,0.166666666666667,1,0.0111111111111111,2,12,0.909090909090909
1000,10,3,0.454545454545455,0.6,0.0277777777777778,5,11,0.571428571428571,0.0909090909090909,1,0.00555555555555556,1,11,0.952380952380952
1000,10,4,0.6,0.6,0.05,9,15,0.48,0.333333333333333,1,0.0277777777777778,5,15,0.8
1000,10,5,0.461538461538462,0.7,0.0333333333333333,6,13,0.608695652173913,0.230769230769231,1,0.0166666666666667,3,13,0.869565217391304
1000,10,6,0.454545454545455,0.6,0.0277777777777778,5,11,0.571428571428571,0.0909090909090909,1,0.00555555555555556,1,11,0.952380952380952
1000,10,7,0.538461538461538,0.6,0.0388888888888889,7,13,0.521739130434783,0.230769230769231,1,0.0166666666666667,3,13,0.869565217391304
1000,10,8,0.4,0.6,0.0222222222222222,4,10,0.6,0,1,0,0,10,1
1000,10,9,0.6,0.6,0.05,9,15,0.48,0.333333333333333,1,0.0277777777777778,5,15,0.8
1000,20,0,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,20,1,0.363636363636364,0.7,0.0470588235294118,8,22,0.666666666666667,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,20,2,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,20,3,0.538461538461538,0.6,0.0823529411764706,14,26,0.521739130434783,0.230769230769231,1,0.0352941176470588,6,26,0.869565217391304
1000,20,4,0.363636363636364,0.7,0.0470588235294118,8,22,0.666666666666667,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,20,5,0.333333333333333,0.7,0.0411764705882353,7,21,0.682926829268293,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,20,6,0.409090909090909,0.65,0.0529411764705882,9,22,0.619047619047619,0.0909090909090909,1,0.0117647058823529,2,22,0.952380952380952
1000,20,7,0.380952380952381,0.65,0.0470588235294118,8,21,0.634146341463415,0.0476190476190476,1,0.00588235294117647,1,21,0.975609756097561
1000,20,8,0.434782608695652,0.65,0.0588235294117647,10,23,0.604651162790698,0.130434782608696,1,0.0176470588235294,3,23,0.930232558139535
1000,20,9,0.458333333333333,0.65,0.0647058823529412,11,24,0.590909090909091,0.166666666666667,1,0.0235294117647059,4,24,0.909090909090909
1000,40,0,0.590909090909091,0.675,0.26,42,66,0.509433962264151,0.439393939393939,0.925,0.193333333333333,32,66,0.69811320754717
1000,40,1,0.577464788732394,0.75,0.273333333333333,42,71,0.540540540540541,0.450704225352113,0.975,0.213333333333333,33,71,0.702702702702703
1000,40,2,0.532258064516129,0.725,0.22,35,62,0.568627450980392,0.387096774193548,0.95,0.16,26,62,0.745098039215686
1000,40,3,0.558823529411765,0.75,0.253333333333333,39,68,0.555555555555556,0.426470588235294,0.975,0.193333333333333,30,68,0.722222222222222
1000,40,4,0.616438356164384,0.7,0.3,49,73,0.495575221238938,0.506849315068493,0.9,0.246666666666667,41,73,0.63716814159292
1000,40,5,0.339622641509434,0.875,0.12,18,53,0.752688172043011,0.245283018867925,1,0.0866666666666667,13,53,0.860215053763441
1000,40,6,0.476190476190476,0.825,0.2,30,63,0.640776699029126,0.365079365079365,1,0.153333333333333,23,63,0.776699029126214
1000,40,7,0.492063492063492,0.8,0.206666666666667,32,63,0.621359223300971,0.380952380952381,0.975,0.16,25,63,0.757281553398058
1000,40,8,0.384615384615385,0.8,0.133333333333333,22,52,0.695652173913043,0.269230769230769,0.95,0.0933333333333333,16,52,0.826086956521739
1000,40,9,0.121951219512195,0.9,0.0333333333333333,6,41,0.888888888888889,0.0487804878048781,0.975,0.0133333333333333,3,41,0.962962962962963
