n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
100,20,0,0.21739130434782608,0.9,0.029411764705882353,5.0,23.0,0.8372093023255814,0.13043478260869565,1.0,0.01764705882352941,3.0,23.0,0.9302325581395349
100,20,1,0.22727272727272727,0.85,0.029411764705882353,6.0,22.0,0.8095238095238095,0.13636363636363635,0.95,0.01764705882352941,4.0,22.0,0.9047619047619048
100,20,2,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
100,20,3,0.28,0.9,0.041176470588235294,7.0,25.0,0.7999999999999999,0.2,1.0,0.029411764705882353,5.0,25.0,0.888888888888889
100,20,4,0.41379310344827586,0.85,0.07058823529411765,12.0,29.0,0.6938775510204082,0.3103448275862069,1.0,0.052941176470588235,9.0,29.0,0.8163265306122449
100,20,5,0.28,0.9,0.041176470588235294,7.0,25.0,0.7999999999999999,0.2,1.0,0.029411764705882353,5.0,25.0,0.888888888888889
100,20,6,0.14285714285714285,0.9,0.01764705882352941,4.0,21.0,0.8780487804878049,0.09523809523809523,0.95,0.011764705882352941,3.0,21.0,0.9268292682926829
100,20,7,0.3076923076923077,0.9,0.047058823529411764,8.0,26.0,0.7826086956521738,0.23076923076923078,1.0,0.03529411764705882,6.0,26.0,0.8695652173913043
100,20,8,0.28,0.9,0.041176470588235294,7.0,25.0,0.7999999999999999,0.2,1.0,0.029411764705882353,5.0,25.0,0.888888888888889
100,20,9,0.3333333333333333,0.9,0.052941176470588235,9.0,27.0,0.7659574468085106,0.25925925925925924,1.0,0.041176470588235294,7.0,27.0,0.851063829787234
500,20,0,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
500,20,1,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
500,20,2,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
500,20,3,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
500,20,4,0.18181818181818182,0.9,0.023529411764705882,4.0,22.0,0.8571428571428571,0.09090909090909091,1.0,0.011764705882352941,2.0,22.0,0.9523809523809523
