n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
100,20,0,0.15789473684210525,0.8,0.01764705882352941,6.0,19.0,0.8205128205128205,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
100,20,1,0.10526315789473684,0.85,0.011764705882352941,4.0,19.0,0.8717948717948718,0.05263157894736842,0.9,0.0058823529411764705,3.0,19.0,0.9230769230769231
100,20,2,0.1,0.9,0.011764705882352941,4.0,20.0,0.9,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
100,20,3,0.16666666666666666,0.75,0.01764705882352941,6.0,18.0,0.7894736842105262,0.05555555555555555,0.85,0.0058823529411764705,4.0,18.0,0.8947368421052632
100,20,4,0.23809523809523808,0.8,0.029411764705882353,6.0,21.0,0.7804878048780488,0.09523809523809523,0.95,0.011764705882352941,3.0,21.0,0.9268292682926829
100,20,5,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
100,20,6,0.21052631578947367,0.75,0.023529411764705882,7.0,19.0,0.7692307692307692,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
100,20,7,0.14285714285714285,0.9,0.01764705882352941,4.0,21.0,0.8780487804878049,0.09523809523809523,0.95,0.011764705882352941,3.0,21.0,0.9268292682926829
100,20,8,0.21052631578947367,0.75,0.023529411764705882,7.0,19.0,0.7692307692307692,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
100,20,9,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
500,20,0,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
500,20,1,0.15789473684210525,0.8,0.01764705882352941,6.0,19.0,0.8205128205128205,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
500,20,2,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
500,20,3,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
500,20,4,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
500,20,5,0.15,0.85,0.01764705882352941,5.0,20.0,0.85,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
500,20,6,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
500,20,7,0.16666666666666666,0.75,0.01764705882352941,7.0,18.0,0.7894736842105262,0.1111111111111111,0.8,0.011764705882352941,6.0,18.0,0.8421052631578948
500,20,8,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718,0.10526315789473684,0.85,0.011764705882352941,5.0,19.0,0.8717948717948718
500,20,9,0.14285714285714285,0.9,0.01764705882352941,4.0,21.0,0.8780487804878049,0.09523809523809523,0.95,0.011764705882352941,3.0,21.0,0.9268292682926829
