n,alpha,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,0.5,0,0.473684211,0.5,0.052941176,11,19,0.512820513,0.052631579,0.9,0.005882353,3,19,0.923076923
1000,0.5,1,0.2,0.8,0.023529412,4,20,0.8,0,1,0,0,20,1
1000,0.5,2,0.333333333,0.6,0.035294118,8,18,0.631578947,0,0.9,0,2,18,0.947368421
1000,0.5,3,0.368421053,0.6,0.041176471,8,19,0.615384615,0,0.95,0,1,19,0.974358974
1000,0.5,4,0.285714286,0.75,0.035294118,6,21,0.731707317,0.047619048,1,0.005882353,1,21,0.975609756
1000,0.5,5,0.315789474,0.65,0.035294118,7,19,0.666666667,0,0.95,0,1,19,0.974358974
1000,0.5,6,0.388888889,0.55,0.041176471,9,18,0.578947368,0,0.9,0,2,18,0.947368421
1000,0.5,7,0.473684211,0.5,0.052941176,10,19,0.512820513,0,0.95,0,1,19,0.974358974
1000,0.5,8,0.421052632,0.55,0.047058824,9,19,0.564102564,0,0.95,0,1,19,0.974358974
1000,0.5,9,0.263157895,0.7,0.029411765,6,19,0.717948718,0,0.95,0,1,19,0.974358974
1000,1,0,0.3,0.7,0.035294118,7,20,0.7,0.05,0.95,0.005882353,2,20,0.95
1000,1,1,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
1000,1,2,0.2,0.8,0.023529412,4,20,0.8,0,1,0,0,20,1
1000,1,3,0.25,0.75,0.029411765,5,20,0.75,0,1,0,0,20,1
1000,1,4,0.4,0.6,0.047058824,8,20,0.6,0,1,0,0,20,1
1000,1,5,0.25,0.75,0.029411765,5,20,0.75,0,1,0,0,20,1
1000,1,6,0.3,0.7,0.035294118,6,20,0.7,0,1,0,0,20,1
1000,1,7,0.315789474,0.65,0.035294118,7,19,0.666666667,0,0.95,0,1,19,0.974358974
1000,1,8,0.363636364,0.7,0.047058824,8,22,0.666666667,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,9,0.238095238,0.8,0.029411765,5,21,0.780487805,0.047619048,1,0.005882353,1,21,0.975609756
1000,2,0,0.466666667,0.4,0.041176471,13,15,0.426666667,0.066666667,0.7,0.005882353,7,15,0.8
1000,2,1,0.5,0.4,0.047058824,13,16,0.4,0.0625,0.75,0.005882353,6,16,0.833333333
1000,2,2,0.375,0.5,0.035294118,10,16,0.555555556,0,0.8,0,4,16,0.888888889
1000,2,3,0.4375,0.45,0.041176471,12,16,0.5,0.0625,0.75,0.005882353,6,16,0.833333333
1000,2,4,0.333333333,0.5,0.029411765,11,15,0.571428571,0.066666667,0.7,0.005882353,7,15,0.8
1000,2,5,0.666666667,0.25,0.058823529,16,15,0.166666667,0.066666667,0.7,0.005882353,7,15,0.8
1000,2,6,0.6,0.3,0.052941176,14,15,0.24,0,0.75,0,5,15,0.857142857
1000,2,7,0.533333333,0.35,0.047058824,14,15,0.326666667,0.066666667,0.7,0.005882353,7,15,0.8
1000,2,8,0.533333333,0.35,0.047058824,14,15,0.326666667,0.066666667,0.7,0.005882353,7,15,0.8
1000,2,9,0.4,0.45,0.035294118,11,15,0.514285714,0,0.75,0,5,15,0.857142857
